Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,Cost of business start-up procedures (% of GNI per capita),"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),"Maternal mortality ratio (national estimate, per 100,000 live births)",Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Profit tax (% of commercial profits),Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),"Pupil-teacher ratio, primary",Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),Total tax and contribution rate (% of profit),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Gabon,GAB,89.6,27.609654311249997,23465936.92986667,701043000000.0,20.02857142857143,-0.858977616,6.1,92.286372376,2.74500418,91.41289246,34.4,-0.826392531,5.2,0.456387877,70.0,70.0,59.0,59.6,4.749066521,1.7210437760000001,754000.0,23.5354653186,66.306,78.57901442263157,2.16,7.075757575757576,19.733333333333334,133.692425,3.6499999999999995,2893.0,23.11415291,88.1597614275,0.624,-0.257414043,44.33265,98.944,38.199999999999996,16.633333333333336,19.5,74.051237105,20.3,1.3687500000000001,20.09099617,36.398409,810.0,686.0,-0.889868915,18.3,-0.720236599,23.988,27.57208333,8.6,70.203856,59.181013,14021.11591,47.1,5.757333333333333,-0.961687982,82.97333333333334,34.214893617021275
"Gambia, The",GMB,60.3,30.836497730625,104891.3948,351410650000.0,16.7,-0.501664221,120.9,92.352482604,3.34384227,25.11264822,35.4,-0.751304328,4.720000000000001,0.403292865,93.0,93.0,91.0,28.3,6.520968239,2.0401657415,523500.0,28.0,63.04,78.80218063736842,2.4,7.0,16.866666666666667,130.1227936,4.625,-3936.0,22.43855858,84.35405731,0.122,-0.08758685,40.69583,99.0,54.3,24.6,17.8,65.50099945,6.1,1.464375,10.34482759,36.13813,1047.5,4027.0,-0.673881352,73.1,-0.455911905,29.441,48.85416667,4.8,63.883745,59.022761,2214.207067,56.6,4.127,-0.215281859,82.68666666666667,33.86808510638298
Georgia,GEO,99.9,34.06334115,516034.0,1778300000.0,39.3,0.724707186,2.2,92.418592832,7.11,40.61591596,36.4,0.518160224,4.24,0.609057724,93.0,93.0,98.0,62.7179,2.615244714,2.359287707,293000.0,11.11939167,73.341,79.02534685210526,2.44,5.82,14.0,144.7181513,5.6,-5174.0,47.67,98.67887115,7.555,-0.447616845,7.84604,98.36666666666666,38.3,7.3,3.1,102.5382233,7.8,1.56,16.0,8.98194,1285.0,1987.0,1.031990647,6.8,0.270468593,26.851,75.44625,9.4,87.345227,66.51782,17135.15848,9.9,12.667,0.228967398,82.4,33.52127659574468
Germany,DEU,100.0,32.866950683846156,109796202.2,31510771802.0,33.25,1.898325324,6.5,92.48470306,11.48051548,32.68361097,31.9,1.523580909,7.98,0.763772786,91.0,88.0,97.0,87.0371,1.732168798,0.950580714,149000.0,10.572110558333334,80.89268293,79.24851306684211,4.2,4.64,25.625,129.6794748,0.2,392587.0,13.16894913,98.82475852500001,4.311,0.577707589,20.666444999999996,97.73333333333333,3.5,0.7,2.5,98.58837128,23.2,1.56,30.74753173,18.113750000000003,33440.0,1063835.0,1.756326795,0.0,1.591349125,6.011,87.44166667,12.9,91.796394,85.513436,802489.7991,49.0,3.384,1.442795277,74.93333333333334,33.17446808510638
Ghana,GHA,80.4,31.67056021769231,467624.0,19612040673.0,27.2,-0.138242349,15.5,91.05081176333333,3.80673027,35.03234596,32.233333333333334,-0.31989485,6.733333333333333,0.443490088,97.0,97.0,92.0,43.0,7.808765166,1.619661892,5000.0,10.024829446666667,64.122,79.47167928157894,2.57,3.4599999999999995,37.25,132.601312,0.9333333333333333,-19374.0,33.40122223,98.9706459,0.143,-0.036738522,33.48685,97.1,39.5,6.2,6.5,88.04061127,17.7,1.56,12.72727273,27.24556,23057.666666666664,11896.0,-0.141936392,37.5,0.051578201,8.903333333333332,60.17333333,6.6,67.052012,59.479453,34130.8132,32.4,8.649,0.55849874,67.46666666666667,32.827659574468086
Gibraltar,GIB,100.0,30.47416975153846,7796778.76,18914235976.0,24.87142857142857,-0.09699013649999999,8.55,89.61692046666667,5.96348667,0.0,32.56666666666666,-0.030629605000000004,5.486666666666666,0.5691479745,98.0,96.5,94.5,57.6192,4.2171932895,1.275350938,44500.0,9.477548335,82.154,79.69484549631579,2.885,2.2799999999999994,48.875,125.7197991,1.6666666666666665,-58.0,34.740642550000004,99.116533275,3.1519999999999997,0.058562886,34.172374999999995,94.78571428571428,26.4,4.25,4.5,93.54139709500001,20.35,1.56,15.6969697,24.52184,12675.333333333332,36671.0,0.13007576750000002,18.85,0.0821672825,11.795666666666666,72.31020833,5.85,92.435923,88.055178,59135.18560499999,42.15,13.914,0.6501726210000001,60.00000000000001,32.48085106382979
Greece,GRC,100.0,29.277779285384614,15125933.52,18216431279.0,22.542857142857144,-0.055737924,1.6,88.18302917,8.12024307,30.26997673,32.9,0.25863564,4.24,0.694805861,99.0,96.0,97.0,72.2384,0.625621413,0.931039984,84000.0,8.930267223333333,81.78780488,79.91801171105263,3.2,1.1,60.5,114.4592115,2.4,-23600.0,36.08006287,99.26242065,6.161,0.153864294,34.8579,92.47142857142858,13.3,2.3,2.5,99.04218292,23.0,1.56,18.66666667,21.79812,2293.0,61446.0,0.402087927,0.2,0.112756364,14.688,84.44708333,5.1,93.676001,85.683886,84139.55801,51.9,19.179,0.741846502,52.53333333333334,32.13404255319149
Greenland,GRL,100.0,28.081388819230767,11380898.89,20064189242.25,20.214285714285715,1.144097686,7.800000000000001,89.2342376675,6.35199022,0.000535997,38.349999999999994,0.808106005,3.71,0.6180003885,97.0,95.5,90.5,66.8192,0.714861863,5.3900919645,123500.0,8.382986111666666,71.96756098,80.14117792578948,3.0025000000000004,1.2520000000000002,72.125,109.767392,1.5499999999999998,-357.0,45.495306015,92.408769605,3.7375,1.936508656,35.543425,90.15714285714286,18.450000000000003,5.300000000000001,5.4,94.7186603525,24.75,1.56,32.66666667,19.0744,2774.336363636364,46179.5,1.359109879,8.674999999999999,1.701723337,20.8145,78.9509374975,2.6999999999999997,80.831409,70.307868,43255.881051,49.849999999999994,16.6225,1.282692909,45.06666666666667,31.787234042553187
Grenada,GRD,92.3,26.884998353076924,7635864.26,21911947205.5,17.885714285714286,0.369962037,14.0,90.285446165,4.58373737,52.05882353,43.8,-0.197106674,3.18,0.541194916,95.0,95.0,84.0,61.4,0.804102313,9.849143945,163000.0,7.835705,74.808,80.36434414052631,2.805,1.4040000000000001,83.75,97.44168486,0.7,-190.0,54.91054916,85.55511856,1.314,0.968616605,36.22895,87.84285714285714,23.6,8.3,8.3,90.395137785,26.5,1.56,46.66666667,16.35068,3255.672727272727,30913.0,-0.275289863,17.15,0.249573827,26.941,73.454791665,0.3,83.656197,73.113165,2372.204092,47.8,14.066,0.502225816,37.60000000000001,31.44042553191489
Guam,GUM,100.0,25.688607886923077,3890829.629999999,23759705168.75,15.557142857142857,1.179165602,16.05,91.3366546625,5.34518218,51.85185185,39.06666666666666,0.22263436,1.81,0.4989830705,90.0,90.0,86.5,51.45,2.27798209,19.3724927075,202500.0,10.379519165,77.439,80.58751035526316,2.6075,1.556,95.375,109.45468878,17.7,-1850.0,56.20545387,78.70146751499999,0.8385,0.697025716,36.914475,85.52857142857142,34.400000000000006,13.200000000000001,11.2,86.07161521750001,23.35,1.56,29.66244726,18.30648,3737.009090909091,15646.5,0.067150779,25.624999999999996,1.296713471,27.365499999999997,67.9586458325,3.15,85.719321,73.852861,17936.508726,41.5,8.1745,1.163516283,30.13333333333334,31.093617021276593
Guatemala,GTM,94.2,24.49221742076923,145795.0,25607463132.0,13.22857142857143,-0.821694732,18.1,92.38786316,6.10662699,33.13736469,34.333333333333336,-0.717828691,0.44,0.456771225,85.0,85.0,89.0,41.5,3.751861867,28.89584147,242000.0,12.92333333,72.726,80.81067657,2.41,1.7080000000000002,107.0,121.4676927,34.7,-56884.0,57.50035858,71.84781647,0.363,-0.538192272,37.6,83.21428571428572,45.2,18.1,14.1,81.74809265,20.2,1.56,12.65822785,20.26228,4218.345454545454,380.0,-0.291999519,34.1,-1.075466394,27.79,62.4625,6.0,79.446645,69.463103,33500.81336,35.2,2.283,-0.353329957,22.66666666666667,30.746808510638296
Guinea,GIN,45.0,23.295826954615386,105886.33333333334,512163539827.4286,10.9,-1.059754133,38.2,87.63375092,3.73843002,25.51277877,29.6,-1.025342226,0.8566666666666667,0.3690826,47.0,47.0,47.0,21.83,9.827617013,23.97418592,231600.0,12.948888886666667,59.349,39.6176796,2.2,1.8600000000000003,104.96666666666667,95.6840313,51.7,-9195.0,67.11582947,76.09871165166666,0.222,-0.880607545,48.17296,80.9,74.1,49.7,12.7,56.64500046,0.0,1.56,21.92982456,19.10988,4699.681818181818,4294.0,-0.80640924,77.6,-1.230892658,24.6875,39.96791667,6.9,59.109418,55.309617,26413.05756,61.4,2.705,-0.768330097,15.2,30.4
Guinea-Bissau,GNB,28.4,22.09943648846154,65977.66666666667,998719616522.8572,14.709090909090909,-1.55884099,91.0,87.44351578166666,7.28130722,71.01315789,34.8,-1.521922827,1.2733333333333334,0.43171282099999997,82.0,82.0,79.0,15.7,0.381324703,19.05253037,221200.0,12.974444443333333,60.502,51.514569285,2.39,2.0120000000000005,102.93333333333334,76.91042128,46.1,-1396.0,66.98838806,80.34960683333333,0.165,-0.684850454,64.41973,81.50909090909092,64.4,12.5,33.1,63.893182374,15.1,1.93,13.7254902,17.95748,5181.018181818182,4853.0,-1.243483424,89.9,-1.26575613,21.585,41.68666667,7.2,60.957674,51.395201,2488.83697,45.5,3.127,-0.682131171,17.58888888888889,33.03333333333333
Guyana,GUY,90.9,20.90304602230769,26069.0,1485275693218.2856,18.51818181818182,-0.249941126,9.4,87.25328064333333,4.90492535,93.64363729,39.5,-0.254933685,1.69,0.494343042,95.0,95.0,98.0,51.1,1.282842884,14.13087482,210800.0,13.0,68.896,63.41145897,2.36,2.164,100.9,68.434440455,36.4,30080.0,33.73039627,84.60050201499999,1.804,-0.191917717,13.78743,82.11818181818182,56.56666666666667,13.0,3.5,71.141364288,19.6,1.7349999999999999,31.88405797,16.80508,5662.354545454546,25.0,-0.540220737,67.6,-0.383601844,42.926,42.47083333,39.5,73.757262,59.454576,4768.25759,30.6,13.627,0.223729163,19.977777777777778,35.666666666666664
Haiti,HTI,44.4,19.706655556153848,219029.0,1971831769913.7144,22.327272727272728,-1.285504103,200.3,87.06304550499999,4.31650305,12.82728592,44.199999999999996,-1.965881228,5.26,0.444787979,64.0,64.0,69.0,32.4736,12.48141112,6.746926947,200400.0,13.1025,64.019,75.308348655,2.11,2.3160000000000003,98.86666666666667,59.95845963,26.7,-35007.0,38.85435486,88.85139719666667,0.237,-0.640176177,49.53262,82.72727272727273,48.733333333333334,13.5,42.2,78.389546202,22.8,1.54,2.542372881,15.65268,6143.6909090909085,5.0,-1.302295089,45.3,-1.061642289,34.8035,44.9125,9.7,69.537988,57.143478,10194.95506,42.7,9.6375,-0.752232194,22.366666666666667,38.3
Honduras,HND,91.6,18.51026509,411989.0,2458387846609.143,26.136363636363637,-0.656966507,39.1,86.87281036666667,7.22820663,57.20940209,48.9,-0.618283272,0.64,0.48030594,91.0,91.0,91.0,36.0401,4.347349378,38.09922546,190000.0,17.80416667,72.814,87.20523834,2.6,2.4680000000000004,96.83333333333333,77.49076112,17.0,-6768.0,52.14417267,93.10229237833333,1.286,-0.531866431,31.5,83.33636363636364,40.9,14.0,14.1,85.637728116,31.2,1.345,21.09375,14.50028,6625.027272727272,28.0,-0.448792905,44.9,-1.0571872,26.681,61.07,2.0,82.285189,73.165996,21043.05227,40.8,5.648,-0.523381531,24.755555555555553,40.93333333333333
"Hong Kong SAR, China",HKG,100.0,15.5096318406,47101822.0,2944943923304.5713,29.945454545454545,1.637417674,1.1,86.68257522833333,6.904103315,39.868781694999996,39.25,1.860872388,3.7950000000000004,0.821718037,95.0,90.75,95.0,90.5074,2.40613432,0.641577854,262250.0,5.041666667,84.8697561,88.895903014,3.92,2.62,94.8,265.9712453,8.7,0.0,39.467086335000005,97.35318756,2.335,0.776450574,35.8777125,83.94545454545455,23.9,7.4,2.5,92.88591003,17.5,1.15,16.828282035,13.34788,7106.363636363636,128.0,2.221291542,22.8,1.72961247,6.488,73.018333335,9.85,95.526926,90.367157,42651.44029,22.9,2.805,0.44878006,27.144444444444446,43.56666666666666
Hungary,HUN,100.0,12.508998591200001,31226848.0,3431500000000.0,33.75454545454546,0.05579298,4.9,86.49234009,6.58,22.5281613,29.6,0.443291485,6.95,0.705064595,99.0,90.5,99.0,76.0744,2.850247926,0.879673232,334500.0,1.470967593,76.06585366,90.586567688,3.42,2.7720000000000002,92.76666666666667,102.7165638,0.4,31976.0,26.79,98.91829681,3.384,0.737417698,40.255425,84.55454545454545,6.9,0.8,2.5,98.09702301,9.1,0.9549999999999998,12.56281407,14.2696425,7587.7,6019.0,0.563642383,0.7,0.554466903,10.73,84.96666667,17.7,86.976075,73.030319,64259.82831,40.3,3.709,0.48724252,29.53333333333333,46.2
Iceland,ISL,100.0,9.5083653418,7819740.56,201491000000.0,37.56363636363636,1.805385828,1.7,93.88787842,8.38,0.496280869,32.05,1.425826907,2.87,0.743431091,91.0,90.25,93.0,99.011,2.682917683,0.849988383,406750.0,6.955,82.86097561,92.27723236199999,3.23,2.9240000000000004,90.73333333333333,116.5506905,2.1,6611.0,15.94,98.82292938,3.891,1.394577146,44.6331375,85.16363636363636,7.2,1.5,2.5,99.11504364,8.8,0.76,38.0952381,15.191405,38418.35,549.0,1.408245683,0.0,1.679163933,5.305,78.29458333,10.8,93.737977,90.14311,2918.513378,30.6,2.704,1.389014244,31.92222222222222,48.83333333333333
India,IND,95.7,6.5077320923999995,164035637.5,2669180000000.0,41.372727272727275,-0.229412422,14.4,94.29940541666667,2.86,24.09102681,34.5,0.262748897,1.65,0.484795809,90.0,90.0,93.0,20.0813,3.938826467,2.993783858,479000.0,9.454166667,70.71,93.967897036,3.18,3.0760000000000005,88.7,85.90350833,3.8,-561563.0,53.23,98.81838989,0.678,-0.997705162,49.01085,85.77272727272727,7.1,1.15,13.1,102.04458237,21.7,0.565,11.80811808,16.1131675,69249.0,195887.0,-0.225996733,48.4,-0.000957083,30.805,69.08208333,12.6,76.006774,69.6327,3436071.569,52.1,7.652,0.360433936,34.31111111111111,51.46666666666667
Indonesia,IDN,98.5,3.507098843,115154100.9,343280000000000.0,45.18181818181818,-0.299459815,6.1,94.71093241333334,2.86757827,49.71681778,36.3,0.141279012,1.16,0.537957251,85.0,85.0,89.0,39.9046,3.198346416,2.44701305925,13000.0,10.53666667,70.338,95.65856171,3.15,3.228,86.66666666666667,119.6084851,5.5,-39878.0,35.64099503,98.8138504,0.425,-0.552077413,20.23793,86.38181818181818,7.0,0.8,5.9,104.9741211,18.1,0.37,19.82142857,17.03493,5483.312,10786.0,-0.021816468,25.1,-0.313785791,21.738,72.35125,2.4,77.323016,69.135874,980509.8039,30.1,4.387,0.162236914,36.7,54.099999999999994
"Iran, Islamic Rep.",IRN,100.0,13.27391598,23029380.0,189176100000000.0,48.99090909090909,-0.984159291,1.2,95.12245941,7.73915195,6.611420647,37.4,-0.478516161,1.95,0.592209101,99.0,99.0,99.0,70.2006,18.01411834,1.9002422605,987500.0,9.124854635,76.195,95.99237941153847,2.85,3.3800000000000003,84.63333333333333,103.6264522,0.8,-29981.0,35.95846176,98.80931091000001,1.514,-1.342144251,34.0162,86.99090909090908,40.6,8.4,7.2,102.42552694,18.4,0.04,5.882352941,18.143417142857142,9327.0,979435.0,-1.395849705,29.3,-0.712358296,32.091,56.93208333,5.7,88.849825,81.063226,891700.9915,44.7,12.195,-1.330449224,39.08888888888889,56.733333333333334
Iraq,IRQ,99.9,17.837609538235295,4812610.0,35072200000000.0,52.8,-1.458062291,38.8,94.957500455,4.12989378,1.900361184,34.0,-1.266859174,1.05,0.39948228,86.0,86.0,85.0,33.9,0.367441489,1.3534714617499999,1962000.0,7.7130426000000005,71.514,96.32619711307693,2.18,3.5320000000000005,82.6,89.9894631,0.75,6660.0,50.39333344,98.80477142,0.67,-2.520958185,47.79447,87.6,23.900000000000002,5.95,17.2,99.87693278,15.0,0.035,25.22796353,19.251904285714286,5607.5,283018.0,-1.063863158,20.7,-1.800899744,21.102,35.47791667,3.7,80.268948,72.624719,268363.8209,30.8,8.968,-0.999588847,41.477777777777774,59.36666666666666
Ireland,IRL,100.0,22.40130309647059,167598633.0,20388357000.0,52.65714285714285,1.534681678,0.1,94.7925415,6.49550152,11.23559297,30.6,1.378235579,2.99,0.813675344,94.0,94.0,92.0,87.0001,0.471130714,0.806700663,1762000.0,6.301230565000001,82.20487805,96.66001481461538,3.51,3.6840000000000006,80.56666666666666,102.8335051,0.7,33647.0,12.58393192,98.80023193,3.302,1.011168242,8.5,89.02857142857142,7.2,3.5,2.5,97.32833862,12.4,0.03,22.15189873,20.36039142857143,1888.0,6012.0,1.619364977,0.0,1.412387013,10.113,86.2975,9.9,93.01171,89.125243,63536.40425,26.0,5.741,1.295465827,43.86666666666666,62.0
Isle of Man,IMN,100.0,26.964996654705885,87501503.0,66615178500.0,52.51428571428571,1.14422676,1.45,91.7927742,6.862750760000001,6.070175439,34.6,1.273788691,3.055,0.7883698939999999,96.0,95.0,95.0,85.36664999999999,0.632603187,1.089214656,1562000.0,4.88941853,80.596,96.99383251615384,3.41,3.8360000000000007,78.53333333333333,114.68182385,0.9,272.0,17.21196596,98.79569244,3.4005,0.04653081300000006,10.258608333333333,90.45714285714286,10.05,2.6,2.5,96.18223571499999,15.600000000000001,0.025,24.825949365,21.46887857142857,1704.5,12283.0,1.4286551475,0.4,1.1863341625000001,11.766,81.825416665,7.65,90.866564,86.555019,74269.648765,26.1,4.829,0.9630488755,46.25555555555555,64.63333333333333
Israel,ISR,100.0,31.52869021294118,7404373.0,112842000000.0,52.37142857142857,0.753771842,2.8,88.7930069,7.23,6.469500924,38.6,1.169341803,3.12,0.763064444,98.0,96.0,98.0,83.7332,0.79407566,1.371728649,1362000.0,3.477606495,82.80243902,97.32765021769231,3.31,3.9880000000000004,76.5,126.5301426,1.1,15615.0,21.84,98.79115295,3.499,-0.918106616,12.017216666666666,91.88571428571429,12.9,1.7,2.5,95.03613281,18.8,0.02,27.5,22.577365714285712,1521.0,18554.0,1.237945318,0.8,0.960281312,13.419,77.35333333,5.4,93.779117,88.565132,85002.89328,26.2,3.917,0.630631924,48.644444444444446,67.26666666666667
Italy,ITA,100.0,36.09238377117647,27243741.0,100603000000.0,52.22857142857143,0.215928152,14.1,97.21938324,8.68,31.98489777,35.2,0.409032583,3.17,0.752880394,95.0,95.0,93.0,74.3872,1.137487636,0.599558176,1162000.0,2.68,83.34634146,97.66146791923077,3.74,4.140000000000001,74.46666666666667,139.1884938,2.9,75863.0,23.55,99.81510925,4.013,0.32613951,13.775825,93.3142857142857,7.2,1.1,2.5,98.83190918,16.8,0.016,35.71428571,23.685852857142855,16780.8,189227.0,0.71514827,0.2,0.240896881,19.356,90.18458333,6.7,93.915228,89.615946,399052.2971,53.1,10.61,0.963564575,51.03333333333333,69.9
Jamaica,JAM,98.2,40.656077329411765,180951.272,200125000000.0,52.08571428571428,-0.230746984,4.4,98.0438385,5.96798849,54.39704524,35.6,0.595471442,1.7,0.539271951,97.0,97.0,89.0,68.2145,3.736638822,45.84195019,962000.0,14.09407373,71.793,97.99528562076922,2.52,4.292000000000001,72.43333333333334,105.44623,0.3,-11329.0,16.77745247,92.83731079,0.55,0.423851728,15.534433333333332,94.74285714285713,45.8,23.0,6.3,85.40872192,13.6,0.012,17.46031746,24.79434,16600.8,13.0,0.129099026,7.0,-0.217798144,26.058,55.32041667,2.3,79.648067,70.215691,10165.89958,35.1,5.47,0.593458533,53.42222222222222,72.53333333333333
Japan,JPN,100.0,45.21977088764706,126387527.0,5707500000000.0,51.94285714285714,1.388648033,7.5,89.57888794,10.74,68.40877915,33.0,1.634688139,13.0,0.840709209,98.0,96.5,97.0,88.7464,0.989094598,0.264542164,762000.0,11.3778701985,84.21097561,98.32910332230769,4.03,4.444000000000001,70.4,142.4668807,0.2,177470.0,12.99,94.07175064,2.498,1.037358642,17.293041666666667,96.17142857142856,3.2,0.7,2.5,90.74548084666667,24.0,0.008,10.10752688,21.665664999999997,16420.8,1893.0,1.3342278,0.1,1.494167566,2.97,85.35916667,16.7,94.461402,89.481442,1198175.185,46.7,2.467,0.994752228,55.8111111111111,75.16666666666666
Jordan,JOR,99.9,49.78346444588235,3383805.0,3790800000.0,51.8,0.123943955,23.9,89.60382843,6.98295021,1.09822032,30.400000000000002,0.095298931,1.41,0.546930194,96.0,96.0,92.0,65.2,4.462311085,0.898673123,562000.0,8.661666667,75.774,98.66292102384615,2.69,4.596,68.36666666666667,83.47869848,0.1,33554.0,35.31651306,95.30619049,3.2145,-0.379783809,19.05165,97.6,2.8,0.35,2.5,96.08223977333334,10.5,0.004,15.38461538,18.53699,16240.8,2957875.0,0.030843168,0.45000000000000007,0.231556088,36.519,58.71666667,1.6,87.598409,80.551531,35966.76761,28.6,18.257,-0.717258751,58.2,77.8
Kazakhstan,KAZ,100.0,54.347158004117645,5920110.0,567123000000.0,53.0,-0.49207738,0.3,95.45102692,2.82,1.257992073,27.8,-0.042007547,5.31,0.77706039,98.0,98.0,99.0,78.9039,6.163662476,2.019803252,362000.0,10.8612127535,73.15,98.99673872538462,2.81,4.748000000000001,66.33333333333334,140.6055713,0.0,-31760.0,33.47,99.1699295,3.931,-0.052698813,0.79376,97.875,2.4,0.0,2.5,101.4189987,16.2,0.0,27.10280374,19.63913,16060.8,568.0,0.094623871,0.8,-0.503434122,35.38133333333333,78.93166667,19.0,82.399135,64.162721,299700.6771,29.4,4.85,-1.200016856,55.900000000000006,74.8695652173913
Kenya,KEN,61.2,58.91085156235294,5905365.123,625963000000.0,61.9,-0.862696052,24.9,92.77511597,4.09903383,6.344818498,29.275000000000002,-0.493594706,7.0874999999999995,0.542186081,92.0,92.0,89.0,19.5,4.689806468,3.140933381,162000.0,13.06075884,62.676,99.33055642692307,2.81,4.9,64.30000000000001,99.09540718,0.025,-115434.0,23.36505699,99.21107291749999,0.161,-1.179692149,50.81331,98.14999999999999,64.4,23.4,22.2,100.2548866125,30.1,0.002962962962962963,21.7765043,19.8595,13095.599999999999,421243.0,-0.265344054,64.5,-0.4276537,34.24366666666667,54.96291667,6.0,59.527872,48.201523,70817.67523,37.2,4.5935,-0.374979466,53.6,71.93913043478261
Kiribati,KIR,87.5,63.47454512058823,66567.0,79418376.38,68.7,0.348221093,36.1,90.09920502,12.97,1.456790123,30.75,-0.064019941,8.865,0.470715493,95.0,95.0,84.0,32.9864,0.564030491,2.2932709486666667,125500.0,9.928005893333333,66.855,99.66437412846153,3.0766666666666667,4.5285714285714285,62.266666666666666,43.62598354,0.05,-776.0,0.59,99.252216335,0.9023333333333333,0.998590291,43.496296666666666,98.425,41.0,8.0,11.5,99.090774525,24.3,0.005925925925925926,6.52173913,20.07987,10130.4,281792.0,-0.662966728,27.4,0.576801479,33.106,24.1175,28.1,72.079298,64.5124,103.357249,32.7,4.337,1.123436809,51.300000000000004,69.00869565217391
"Korea, Dem. People's Rep.",PRK,46.3,68.03823867882353,94245.0,24175489709188.188,75.5,-1.587844968,25.35,87.42329407,10.23059903,50.43227307,32.225,-1.606077194,10.6425,0.6526302845,97.0,97.0,98.0,64.50465,1.0199349205,1.4456085163333334,89000.0,6.7952529466666665,73.031,99.99819183,3.3433333333333333,4.1571428571428575,60.233333333333334,86.01554457,0.07500000000000001,-3223.0,16.822183534999997,99.29335975250001,1.6436666666666666,-0.340751916,36.17928333333334,98.69999999999999,23.1,4.0,42.5,97.9266624375,21.25,0.008888888888888889,16.30276565,20.30024,7165.200000000001,142341.0,-2.384815216,13.75,-1.64309454,31.968333333333334,54.466041665000006,9.3,82.859313,72.880655,74192.7318,32.900000000000006,4.0805,-2.21095252,49.0,66.07826086956521
"Korea, Rep.",KOR,100.0,72.60193223705883,88157579.0,48350900000000.0,82.3,0.573121369,14.6,84.74738312,7.49119806,64.67391304,33.7,1.135347366,12.42,0.834545076,98.0,98.0,98.0,96.0229,1.47583935,0.597946084,52500.0,3.6625,82.62682927,98.80000305,3.61,3.7857142857142856,58.2,128.4051056,0.1,118642.0,33.05436707,99.33450317,2.385,0.638081014,28.862270000000002,98.975,5.2,0.0,2.5,96.76255035,18.2,0.011851851851851851,17.0,16.493736666666667,4200.0,2890.0,1.093749762,0.1,1.199627161,30.830666666666666,84.81458333,28.6,95.800608,89.349427,714466.5463,33.1,3.824,0.798121333,46.7,63.14782608695652
Kosovo,XKX,100.0,77.16562579529412,47311213.0,32248886966666.664,68.0,-0.527982175,1.0,85.59629822,6.339912175,32.5123212785,31.700000000000003,-0.444479346,7.215,0.569061995,94.5,94.5,98.0,89.443,1.053797737,2.573156596,16000.0,6.654058333,78.696,97.428237915,3.235,3.4142857142857146,56.16666666666667,146.43030075000001,0.3,-34137.0,21.850701335,93.939517975,1.8792499999999999,-0.675402105,21.54525666666667,99.25,8.75,2.45,2.55,97.49003346333333,9.3,0.014814814814814814,10.0384615385,12.687233333333332,2941.333333333333,1780.5,-0.343168259,13.875,-0.383673996,29.693,72.854375,15.700000000000001,90.424864,83.510127,424638.02450000006,15.2,27.761,-0.137490571,44.400000000000006,60.21739130434783
